Name,Accessory 1,Accessory 2,Accessory 3,Accessory 4,Accessory 5,Muscles Involved,Audience,What to Do,Repetitions,Video Link,Category 1,Category 2,Category 3,Category 4,Heuristic Level,ACSM Level
Seated Isometric Back Squeeze,Chair/Floor,None,None,None,None,"Rhomboids, trapezius, and rear deltoids","Suitable for individuals improving upper back posture and strength in a static, joint-friendly way.","Sit upright with arms at your sides. Squeeze your shoulder blades together as if pinching a pencil between them. Hold the contraction, then release.",Hold for 10–20 seconds; repeat 2–3 times,,Back,,,,Beginner,Beginner
Seated Isometric Leg Press,Chair/Floor,None,None,None,None,"Quadriceps, hamstrings, and glutes","Ideal for individuals needing a low-impact strengthening option while seated, especially those with limited mobility.","Sit upright and press your feet firmly into the floor, engaging your thigh muscles as if you are pushing the floor away. Hold the contraction, then release.",Hold for 10–20 seconds; repeat 3–5 times,https://youtu.be/_MYGoy4eCfE?si=AHIe_m19zzQZGCxH,Legs,,,,Beginner,Beginner
Seated Isometric Quad Squeeze,Chair/Floor,None,None,None,None,Quadriceps,"Ideal for individuals improving quadriceps endurance without joint movement, including those recovering from knee or leg injuries.","Sit upright with both feet flat. Tighten your thigh muscles as if you are pushing your knees downward without moving your legs. Hold, then relax.",Hold for 10–20 seconds; repeat 3–5 times,https://youtu.be/vKsGWzKaaak?si=UhqUYEBdictT1hoi,Legs,,,,Beginner,Beginner
Seated Knee Extension Without Band,Chair/Floor,None,None,None,None,Quadriceps and hip flexors,"Suitable for individuals building lower limb strength in a seated, low-impact manner, especially those with limited mobility or recovering from injury.","Sit upright with feet flat on the floor. Slowly extend one leg forward until straight, then lower back down with control. Alternate legs.",10–15 repetitions per leg,https://youtu.be/HQDE1rkPCQo?si=3FY7m7wYIxoQB0y5,Legs,,,,Beginner,Beginner
Seated Knee Raises,Chair/Floor,None,None,None,None,Hip flexors and lower abdominals,"Ideal for individuals needing a low-impact, seated exercise to improve hip mobility and lower body strength.","Sit upright and raise one knee toward your chest, mimicking a stepping motion while seated. Alternate legs.",10–15 repetitions per leg,https://youtu.be/vrQXV30JKKk?si=d4Ko5HHUudOEg4Cq,Legs,,,,Beginner,Beginner
Seated Leg Extensions,Chair,None,None,None,None,Quadriceps and hip flexors,"Ideal for individuals improving lower leg strength or recovering from lower body injury, performed entirely seated.","Sit upright in a chair with feet flat. Extend one leg forward until it’s straight, then lower slowly. Alternate sides.",10–15 repetitions per leg,https://youtu.be/G6iqAT7oPUU?si=4SyHEc-a7U9CdLUc,Legs,,,,Beginner,Beginner
Seated Leg Press,Chair,None,None,None,None,Quadriceps and hip flexors,"Ideal for individuals improving lower leg strength or recovering from injury, performed from a seated position.","Sit upright in a chair with feet flat on the floor. Extend one leg forward until it’s straight, then return slowly to the starting position. Alternate legs.",10–15 repetitions per leg,https://youtu.be/_MYGoy4eCfE?si=AHIe_m19zzQZGCxH,Legs,,,,Beginner,Beginner
Seated March with Back Support,Chair,None,None,None,None,"Hip flexors, quadriceps, and core",Suitable for individuals who need lower back support while improving lower limb mobility and core activation.,Sit against a chair backrest. Alternately lift each knee toward your chest in a controlled marching motion while maintaining good posture.,10–15 repetitions per leg,https://youtu.be/CK7kwrchl1Y?si=fAyNmHOBSH74VtJj,Legs,Back,Core,,Beginner,Beginner
Seated Neck Stretch,Chair/Floor,None,None,None,None,Neck muscles and upper trapezius,Suitable for individuals relieving neck tension and improving flexibility in a seated position.,"Sit upright with shoulders relaxed. Slowly tilt your head to one side, bringing your ear toward your shoulder without lifting the shoulder. Hold the stretch, then switch sides.",Hold for 15–30 seconds per side; repeat 2–3 times,,Back,Stretches,,,Beginner,Beginner
Seated Overhead Extension,Chair/Floor,Dumbbell/Light weight,None,None,None,Triceps and shoulders,"Suitable for beginners or individuals needing seated support for overhead exercises, especially those with lower back concerns.","Sit upright, holding a dumbbell or weight with both hands. Extend your arms overhead, then bend at the elbows to lower the weight behind your head. Extend your arms fully to return to start.",8–12 repetitions,https://youtu.be/1-WbL46n9Fs?si=jl0LzF-KtWRFq1Kl,Arms,,,,Beginner,Beginner
Seated Press-Downs,Chair,None,None,None,None,Triceps and shoulders,"Suitable for beginners or individuals seeking gentle triceps activation, especially those with limited mobility or recovering from injury.","Sit upright with your hands resting on your thighs. Push your hands downward against your thighs, engaging the triceps muscles. Hold briefly, then release with control. Avoid shrugging shoulders or locking elbows.",8–12 repetitions,,Arms,,,,Beginner,Beginner
Seated Push-Up,Sturdy chair with armrests,None,None,None,None,"Chest, triceps, and shoulders",Suitable for beginners or individuals needing upper body strength without standing.,"Sit upright in a sturdy chair with armrests. Place your hands on the armrests and push down to lift your body slightly off the chair. Hold briefly, then lower with control.",8–12 repetitions,,Arms,Chest,,,Beginner,Beginner
Seated Quad Squeeze,Chair/Floor,None,None,None,None,Quadriceps,Suitable for beginners or individuals recovering from lower body injuries or surgeries.,"Sit upright with feet flat on the floor. Contract your thigh muscles tightly while keeping your legs still. Hold the squeeze, then relax.",Hold for 10–15 seconds; repeat 5–8 times,https://youtu.be/vKsGWzKaaak?si=UhqUYEBdictT1hoi,Legs,,,,Beginner,Beginner
Seated Quad Stretch,Sturdy chair,None,None,None,None,Quadriceps and hip flexors,Suitable for individuals with limited mobility seeking to stretch the front of the thigh while seated.,"Sit on a sturdy chair and carefully slide one foot back underneath the chair as far as comfortable, keeping your torso upright. Hold the stretch, then switch sides.",Hold for 20–30 seconds; repeat 2–3 times per leg,,Legs,Stretches,,,Beginner,Beginner
Seated Row with Light Resistance Band,Chair/Floor,Resistance band,None,None,None,"Upper back, shoulders, and biceps",Suitable for beginners or individuals seeking to strengthen upper back muscles while minimizing lower back strain. Ideal for improving posture and daily pulling motions.,Sit upright with legs extended or bent slightly. Loop a light resistance band around your feet and hold the ends with your hands. Pull the band towards your torso by bending your elbows and squeezing your shoulder blades together. Return slowly with control. Keep your back straight throughout.,8–12 repetitions,,Arms,Back,,,Beginner,Beginner
Seated Shoulder Press,Chair/Floor,Light weights/Resistance bands,None,None,None,"Shoulders (deltoids), triceps",Suitable for beginners or individuals needing to reduce lower back load during shoulder strengthening.,"Sit upright with feet flat on the floor. Hold light weights or resistance bands at shoulder height. Press upward until arms are fully extended overhead, then lower with control.",8–12 repetitions,https://youtu.be/Gr2E39_5H98?si=p0cIGdrpw0N8A6sH,Shoulders,Arms,,,Beginner,Beginner
Seated Shoulder Stretch,Chair/Floor,None,None,None,None,Shoulders and upper back,"Suitable for individuals needing improved shoulder flexibility or relief from stiffness, especially those who sit for long periods.","Sit upright and gently pull one arm across the chest with the opposite hand, keeping the shoulders relaxed. Hold the stretch without forcing.",Hold for 20–30 seconds; repeat 2–3 times per arm,,Shoulders,Back,Stretches,,Beginner,Beginner
Seated Shoulder Tap,Chair/Floor,None,None,None,None,"Core, shoulders, and obliques",Suitable for individuals focusing on gentle seated core activation and shoulder mobility.,"Sit upright with feet flat on the floor. Alternately lift one hand to tap the opposite shoulder, engaging your core to stabilize.",10–15 repetitions per side,https://youtu.be/S4uyr15wIeo?si=G5wJWVyzaK68Jd8m,Shoulders,Core,,,Beginner,Beginner
Seated Side Bend,Chair,None,None,None,None,Obliques and core stabilizers,"Suitable for individuals seeking gentle core mobility and flexibility while seated, especially for those with balance concerns or limited mobility.","Sit upright in a chair with feet flat on the floor. Slowly bend to one side, sliding your hand down the side of the chair or leg, then return to center. Repeat on the other side.",8–12 repetitions per side,https://youtu.be/NQZMBS3f-vk?si=OH9aLJSGf113Se1d,Core,,,,Beginner,Beginner
Seated Side Leg Lifts,Chair,None,None,None,None,"Hip abductors, glutes, and core",Suitable for beginners or individuals improving hip mobility and lateral leg strength while seated.,"Sit upright on a chair with feet flat. Lift one leg out to the side, keeping your upper body stable, then lower with control. Alternate legs.",8–12 repetitions per leg,https://youtu.be/cqwgZSD4Etg?si=muqf-CwyTdvYBfiI,Legs,Core,,,Beginner,Beginner
Seated Side Stretch,Chair,None,None,None,None,Obliques and upper back,Suitable for individuals improving upper body flexibility and lateral range of motion while seated.,"Sit upright in a chair with feet flat on the floor. Reach one arm overhead and gently lean toward the opposite side, keeping hips anchored. Hold briefly, then return and switch sides.",Hold for 20–30 seconds per side; repeat 2–3 times,https://youtu.be/ObNzhUk-YTU?si=kl3HuYCYPcXNKLs9,Back,Stretches,,,Beginner,Beginner
Seated Single Leg Lift,Chair/Floor,None,None,None,None,"Hip flexors, quadriceps, and core",Ideal for individuals building lower limb strength and improving mobility from a seated position.,"Sit upright with both feet flat on the floor. Lift one leg slowly while keeping the other foot on the ground, then lower with control. Alternate sides.",8–12 repetitions per leg,https://youtu.be/JkvP6ShnSa4?si=IZLKYqtscfzGw-2Z,Legs,Core,,,Beginner,Beginner
Seated Sit-to-Stand with Arm Support,Sturdy chair,None,None,None,None,"Quadriceps, glutes, hamstrings, and core","Suitable for older adults, beginners, or individuals with lower body weakness or balance concerns. Helps improve mobility and strength for daily activities like getting up from a chair or toilet.","Sit on a sturdy chair with feet flat on the floor, shoulder-width apart. Place hands on the chair arms. Lean slightly forward and press through your heels and arms to stand up fully. Slowly lower yourself back down with control.",8–12 repetitions,https://youtu.be/O27oNqluAl0?si=1N-4fjQOhCEZam0Z,Legs,Arms,Core,,Beginner,Beginner
Seated Stretch with Bent Knee,Chair,None,None,None,None,Hamstrings and lower back,Ideal for those who experience excessive hamstring tension or tightness.,Sit on the edge of a chair with one leg extended forward and knee slightly bent. Lean forward gently from the hips until a stretch is felt in the hamstring. Hold without bouncing.,Hold for 20–30 seconds; repeat 2–3 times per leg,https://youtu.be/NOpvwspdZc8?si=D-2jUu6gWf6oSBvw,Legs,Back,Stretches,,Beginner,Beginner
Seated Toe Raises,Chair/Floor,None,None,None,None,Tibialis anterior (shin muscles) and calves,Suitable for individuals improving ankle mobility and shin strength while seated.,"Sit upright with feet flat on the floor. Lift your toes upward while keeping heels grounded, then lower with control.",10–15 repetitions,,Legs,,,,Beginner,Beginner
Seated Tricep Dips on Chair,Sturdy chair,None,None,None,None,"Triceps, shoulders, and chest","Suitable for individuals seeking a gentle, seated bodyweight triceps exercise with minimal shoulder strain.","Sit on the edge of a sturdy chair with hands placed on the chair edge beside your hips. Slowly push through your arms to lift your body slightly off the chair, bending your elbows, then press back up. Limit the range of motion for comfort.",8–12 repetitions,,Arms,Chest,,,Beginner,Beginner
Seated Tricep Stretch,Chair/Floor,None,None,None,None,Triceps and shoulders,Suitable for individuals improving upper body flexibility or recovering from tightness in the arms and shoulders.,"Sit upright and reach one arm overhead, bending the elbow to touch the opposite shoulder blade. Use the opposite hand to gently assist the stretch.",Hold for 20–30 seconds; repeat 2–3 times per arm,,Arms,Stretches,,,Beginner,Beginner
Seated Twists with Back Support,Chair,None,None,None,None,Obliques and core stabilizers,Suitable for individuals improving trunk mobility with limited range of motion and extra back support.,"Sit upright in a chair with your back supported. Gently twist your upper body to one side, keeping your lower body still, then return to center and repeat on the other side.",8–12 repetitions per side,https://youtu.be/CK7kwrchl1Y?si=fAyNmHOBSH74VtJj,Back,Core,,,Beginner,Beginner
Seated Upper Back Stretch,Chair/Floor,None,None,None,None,Upper back (rhomboids and trapezius),Suitable for individuals improving upper back flexibility and relieving tension from seated posture.,"Sit upright and cross your arms in front of you, placing your hands on opposite shoulders. Gently pull your elbows forward to stretch your upper back.",Hold for 20–30 seconds; repeat 2–3 times,https://youtu.be/XjOpD8OrJIE?si=eFQr-hZgDmYLGjJE,Back,Stretches,,,Beginner,Beginner
Side Leg Taps,None,None,None,None,None,"Hip abductors, glutes, and core stabilizers",Suitable for individuals focusing on balance and gentle lateral leg movement.,"Stand upright with feet hip-width apart. Tap one foot out to the side, then bring it back to center. Alternate sides while maintaining balance.",10–15 taps per side,https://youtu.be/Eza3td548FA?si=m6ssf7dfHxApxIuN,Legs,Core,,,Beginner,Beginner
Side Reach,None,None,None,None,None,"Obliques, shoulders, and core stabilizers",Ideal for individuals looking to gently stretch their sides and improve flexibility in a standing or seated position.,Stand upright with feet hip-width apart. Reach one arm overhead and gently stretch toward the opposite side without leaning too far. Return to center and repeat on the other side.,Hold for 15–30 seconds per side; repeat 2–3 times,,Core,,,,Beginner,Beginner
Side Step-Ups,Low step/Platform,None,None,None,None,"Hip abductors, quadriceps, glutes, and calves","Suitable for individuals seeking to improve lateral hip and leg strength, balance, and coordination.","Stand beside a low step and step sideways onto it with one foot, then step back down. Alternate sides after reps.",8–12 repetitions per side,https://youtu.be/DU9Q1HtVKKA?si=MGhCV0OKsy_8aM2u,Legs,,,,Intermediate,Intermediate
Side Taps,None,None,None,None,None,"Hip abductors, glutes, and core stabilizers","Suitable for individuals improving hip mobility and balance with minimal joint strain, ideal for beginners or older adults.","Stand upright with feet hip-width apart. Tap one foot out to the side without lifting it high, then bring it back to the center. Alternate sides.",10–15 repetitions per side,,Legs,Core,,,Beginner,Intermediate
Single-Arm Band Chest Press,Chair/Floor,Resistance band,None,None,None,"Chest, triceps, and shoulders",Suitable for individuals focusing on unilateral strength or recovering from injury.,"Sit upright and press forward with one arm at a time using a resistance band, alternating sides to reduce strain.",8–12 repetitions per arm,,Arms,Chest,,,Beginner,Intermediate
Single-Arm Band Pull,Resistance band,None,None,None,None,"Upper back, shoulders, and rear deltoids",Suitable for individuals focusing on unilateral upper body strength or recovering from imbalances.,"Sit or stand holding a resistance band with one hand anchored at the opposite side. Pull the band toward your body by bending your elbow, then return with control. Alternate arms.",8–12 repetitions per arm,https://youtu.be/sASjLZ8M5qc?si=9ZYk4HOoMvGiaSAI,Arms,Back,,,Intermediate,Intermediate
Single-Arm Seated Curl,Chair/Floor,Light weights/Resistance bands,None,None,None,Biceps,Suitable for individuals focusing on unilateral strength or muscle imbalances.,"Sit upright and hold a weight or resistance band in one hand. Curl the arm by bending the elbow, then lower slowly. Switch sides after completing reps.",8–12 repetitions per arm,,Arms,,,,Beginner,Beginner
Single-Arm Seated Row,Chair/Floor,Resistance band/Light weight,None,None,None,"Upper back, shoulders, and biceps",Suitable for individuals focusing on unilateral upper body strength and balance.,"Sit upright, holding a resistance band or light weight in one hand. Pull towards your torso by bending your elbow and squeezing the shoulder blade. Switch arms after completing reps.",8–12 repetitions per arm,,Arms,Back,,,Beginner,Beginner
Single-Leg Curl with Support,Chair/Wall,None,None,None,None,Hamstrings and glutes,Suitable for individuals focusing on single-leg strength or improving balance.,"Stand upright, holding onto a chair or wall for balance. Bend one knee to bring your heel toward your glute, then lower with control. Switch legs after reps.",8–12 repetitions per leg,,Legs,,,,Intermediate,Beginner
Single-Leg Sit-to-Stand with Chair Support,Sturdy chair,None,None,None,None,"Quadriceps, glutes, hamstrings, and core","Suitable for individuals progressing from basic sit-to-stand exercises. Helps improve balance, single-leg strength, and functional mobility.","Sit on a sturdy chair with feet flat on the floor. Extend one leg slightly forward and use the opposite leg to rise to standing, using the chair for support if needed. Lower back down with control and switch legs. Keep movements slow and steady to maintain balance.","6–10 repetitions per leg, alternating sides",,Legs,Core,,,Beginner,Beginner
Standing Arm Reach,None,None,None,None,None,"Shoulders, upper back, and core stabilizers","Ideal for individuals seeking a gentle, full-body stretch to improve shoulder and upper back flexibility while standing.","Stand with feet hip-width apart. Raise both arms overhead and stretch upward as high as comfortable, lengthening through the torso.",Hold for 15–30 seconds; repeat 2–3 times,,Arms,Back,Core,,Beginner,Beginner
Standing Band Pull,Resistance band,None,None,None,None,"Upper back, shoulders, and biceps",Suitable for beginners or individuals wanting to improve upper body strength with light standing resistance work.,"Stand with a light resistance band held in front of you. Pull the band toward your torso by bending your elbows and squeezing your shoulder blades together, then return slowly.",8–12 repetitions,https://youtu.be/WHAW3bQDYWg?si=9haKIfq2IdR0CZAh,Arms,Back,,,Beginner,Intermediate
Standing Bird Dog,Chair,None,None,None,None,"Core stabilizers, glutes, shoulders, and lower back","Suitable for individuals improving balance, core strength, and coordination while standing with support.","Stand facing a chair, holding onto it for support. Extend one arm forward and the opposite leg backward, keeping your back flat. Hold briefly, then return to start and switch sides.",8–10 repetitions per side,,Legs,Back,Core,,Intermediate,Beginner
Standing Calf Stretch Against Wall,Wall,None,None,None,None,Calves (gastrocnemius and soleus),"Suitable for individuals improving calf flexibility, particularly helpful for those with tight lower legs or balance support needs.","Stand facing a wall and place your hands on it for support. Step one foot back, keeping the back leg straight and heel grounded. Bend the front knee slightly and lean into the wall until you feel a stretch in the back leg’s calf.",Hold for 20–30 seconds; repeat 2–3 times per leg,,Legs,Stretches,,,Intermediate,Beginner
Standing Hamstring Stretch with Chair Support,Sturdy chair,None,None,None,None,Hamstrings and calves,Suitable for individuals needing balance support during hamstring stretching.,Stand facing a sturdy chair and place one heel on the chair seat with the leg straight. Keep your back straight and lean slightly forward from the hips until a gentle stretch is felt.,Hold for 20–30 seconds; repeat 2–3 times per leg,https://youtu.be/YY4PLr1jVG4?si=u3rgfEO2STwRgi7e,Legs,Stretches,,,Beginner,Beginner
Standing Knee Extension,Chair,None,None,None,None,Quadriceps and hip flexors,"Suitable for individuals improving leg strength and stability with light standing movement, especially those needing chair support.","Stand behind a chair, holding it for balance. Extend one leg forward, keeping the other leg stable. Hold briefly, then return to start. Alternate sides.",10–15 repetitions per leg,https://youtu.be/HQDE1rkPCQo?si=3FY7m7wYIxoQB0y5,Legs,,,,Beginner,Beginner
Standing Knee Extensions with Support,Chair/Wall,None,None,None,None,Quadriceps and hip flexors,Suitable for individuals improving leg strength and knee stability with balance support.,"Stand behind a chair or near a wall for support. Slowly extend one leg forward by straightening the knee, then return to starting position. Switch legs after completing repetitions.",8–12 repetitions per leg,https://youtu.be/oyGPftrr2zo?si=9SZwwpi12iTnMFWZ,Legs,,,,Intermediate,Beginner
Standing Row with Minimal Band Tension,Resistance band,None,None,None,None,"Upper back, shoulders, and biceps",Suitable for beginners or individuals with limited range of motion or strength. Helps improve posture and pulling strength with gentle resistance.,"Stand with feet shoulder-width apart, holding a resistance band with minimal tension. Pull the band towards your torso by bending your elbows and squeezing your shoulder blades together. Keep movements slow and controlled, avoiding strain. Return to starting position with control.",8–12 repetitions,https://youtu.be/sn2o7ffCWAQ?si=0L39E1DTnFtn0Zq7,Arms,Back,,,Beginner,Beginner
Standing Side Crunch with Chair Support,Sturdy chair,None,None,None,None,Obliques and hip flexors,Suitable for individuals who need balance support while working on core and side body strength.,"Stand upright, holding onto a sturdy chair for balance. Slowly lift one knee to the side while bending your torso toward it, then lower with control. Alternate sides.",8–12 repetitions per side,https://youtu.be/D45ME9Qb_e4?si=AE5x8x-oxU4h-CpV,Legs,,,,Beginner,Beginner
Standing Side Leg Lifts with Chair Support,Sturdy chair,None,None,None,None,"Hip abductors, glutes, and core","Suitable for individuals focusing on hip strength and balance, especially those needing extra support.","Stand next to a sturdy chair and hold it for balance. Lift one leg out to the side, keeping your torso upright. Lower with control and switch sides.",8–12 repetitions per leg,https://youtu.be/Q-E2Caqf1hA?si=qRvUGQRJwG3p2llL,Legs,Core,,,Beginner,Beginner
Standing Step-Backs,None,None,None,None,None,"Hip flexors, glutes, hamstrings, and quadriceps",Suitable for individuals improving balance and lower body mobility with minimal knee bending.,"Stand upright with feet hip-width apart. Step one foot back without bending the knees, then return to center. Alternate legs.",10–15 repetitions per leg,https://youtu.be/3LXgGFcAA4Q?si=EBHHig5w2JGWIAeF,Legs,,,,Intermediate,Intermediate
Standing Twists with Chair Support,Sturdy chair,None,None,None,None,Obliques and core stabilizers,Suitable for individuals improving trunk rotation and balance with extra support.,"Stand holding onto a sturdy chair for balance. Slowly twist your torso to one side, then back to center, keeping your hips facing forward. Alternate sides.",8–12 repetitions per side,ttps://youtu.be/CK7kwrchl1Y?si=fAyNmHOBSH74VtJj,Core,,,,Beginner,Beginner
Static Lunge Hold,None,None,None,None,None,"Quadriceps, glutes, hamstrings, and calves",Ideal for individuals focusing on static endurance and balance while improving lower body strength.,"Step one foot back into a lunge position and hold the position without moving, keeping knees aligned and back straight. Switch sides after holding.",Hold for 10–20 seconds per side; repeat 2–3 times,,Legs,,,,Intermediate,Intermediate
Static Quad Hold,Chair/Floor,None,None,None,None,Quadriceps and core stabilizers,"Suitable for individuals improving quadriceps endurance and knee stability, ideal for those needing joint-friendly exercises.",Sit upright with feet flat on the floor. Tighten your thigh muscles and hold the contraction without moving your legs.,Hold for 10–15 seconds; repeat 3–5 times,,Legs,Core,,,Beginner,Beginner
Static Wall Lean,Wall,None,None,None,None,"Core, back, and lower body stabilizers",Suitable for individuals looking for a gentle posture and core engagement exercise without lower body strain.,"Stand upright with your back against the wall and lean slightly into it without bending your knees. Hold the position, maintaining posture.",Hold for 10–20 seconds; repeat 2–3 times,https://youtu.be/Joplz5M4VgI?si=nWJKzj7cV-jvGBH-,Back,Core,,,Beginner,Beginner
Static Wall Sit,Wall,None,None,None,None,"Quadriceps, glutes, hamstrings, and core",Suitable for individuals improving lower body endurance and stability while minimizing movement.,Stand with your back against a wall and feet about hip-width apart. Slide down slightly until your knees are bent at a comfortable angle. Hold the position.,Hold for 10–30 seconds; repeat 2–3 times,,Legs,Core,,,Beginner,Beginner
Supported Heel Raises,Sturdy chair,None,None,None,None,Calves (gastrocnemius and soleus),"Suitable for individuals improving lower leg strength and balance, with support for stability.","Stand behind a sturdy chair and hold onto it for balance. Raise your heels off the floor slowly, then lower with control.",10–15 repetitions,https://youtu.be/URth5HtcPis?si=5NAF0YYGrAFqzJJe,Legs,,,,Intermediate,Beginner
Supported Mini Squats,Sturdy chair,None,None,None,None,"Quadriceps, glutes, hamstrings, and calves",Suitable for individuals easing into squats with extra balance support.,"Stand behind a sturdy chair, holding it for balance. Slowly lower your body into a shallow squat, keeping knees behind toes. Return to standing.",8–12 repetitions,https://youtu.be/KHrnSWsyVJY?si=iTH2K3HvA71eU8fh,Legs,,,,Intermediate,Beginner
Supported Step-Ups,Wall/Sturdy chair,Low platform/Step,None,None,None,"Quadriceps, glutes, hamstrings, and calves",Suitable for beginners or those needing additional support for balance while performing step-ups.,"Hold onto a wall or sturdy chair for support. Step up onto a low platform or step with one foot, then return to the floor. Alternate legs.",8–12 repetitions per leg,https://youtu.be/_JVewNI0iUA?si=AU6zyqi05gqoDvZL,Legs,,,,Beginner,Beginner
Supported Wall Sit,Wall,Chair,None,None,None,"Quadriceps, glutes, hamstrings, and core",Suitable for individuals who need extra support during wall sits for balance or joint comfort.,"Stand with your back against a wall and place a chair behind you for support. Slide down into a squat position, using the chair for safety and to limit depth.",Hold for 10–30 seconds; repeat 2–3 times,,Legs,Core,,,Intermediate,Beginner
Table Push-Ups,Sturdy table,None,None,None,None,"Chest, triceps, shoulders, and core",Ideal for individuals who need a moderate-intensity push-up alternative using a sturdy elevated surface.,"Stand facing a sturdy table. Place your hands on the table edge, keep your body straight, and bend your elbows to lower your chest toward the table. Push back up with control.",8–12 repetitions,,Arms,Chest,Core,,Intermediate,Intermediate
Table Push-Ups with Pause,Sturdy table,None,None,None,None,"Chest, shoulders, triceps, and core",Suitable for individuals building upper body strength with moderate resistance using a table for incline.,"Place hands on a sturdy table, lower your chest toward it in a controlled manner, then pause briefly at the bottom before pushing back up.",8–12 repetitions,,Arms,Chest,Core,,Intermediate,Intermediate
Toe Taps (Seated),Chair/Floor,None,None,None,None,"Hip flexors, quadriceps, and lower abdominals","Suitable for beginners or individuals improving lower body coordination and circulation, especially while seated.",Sit upright with feet flat on the floor. Tap your toes alternately on the ground without lifting your knees. Perform with control.,15–20 taps per foot,https://youtu.be/ALLigp_GsHo?si=or1QH99scCAowHXK,Legs,,,,Beginner,Beginner
Toe Taps on a Step,Low step/Platform,None,None,None,None,"Hip flexors, calves, and quadriceps","Suitable for individuals improving balance, coordination, and lower body endurance.","Stand in front of a low step or platform. Tap one foot on the step without fully stepping up, then switch feet in a controlled, alternating motion.",15–20 repetitions per side,https://youtu.be/MEzLmboZMv8?si=iYPVN0e3PYXwPUiB,Legs,,,,Intermediate,Intermediate
Tricep Kickbacks with Light Weight,Chair,Light weight,None,None,None,"Triceps, rear deltoids, and shoulders",Suitable for individuals improving arm strength and toning using light weights in a supported position.,"Stand or sit, leaning forward slightly with one hand resting on a chair for support. Hold a light weight in the opposite hand. Bend your elbow to 90 degrees, then extend your arm backward, squeezing your triceps. Return slowly to the starting position.",8–12 repetitions per arm,https://youtu.be/6qj4nO4MapY?si=FAi06c_LNhCWBdrm,Arms,,,,Beginner,Beginner
Tricep Press-Down Against Chair,Chair,None,None,None,None,Triceps and shoulders,"Suitable for individuals improving arm strength with a gentle, seated bodyweight option.","Sit upright in a chair with hands resting on the chair arms. Push downward through your hands to engage your triceps, as if trying to lift yourself off the seat slightly without actually lifting. Hold, then release.",Hold for 10–15 seconds; repeat 3–5 times,,Arms,,,,Beginner,Beginner
Tricep Press-Down with Resistance Band,Resistance band,Overhead anchor,None,None,None,Triceps and shoulders,"Suitable for individuals improving arm strength with light, joint-friendly resistance exercises.","Attach a resistance band to a secure overhead anchor or hold it firmly. Grip the band with both hands near chest height, then press downward until your arms are straight, fully extending your elbows. Return slowly with control.",8–12 repetitions,,Arms,,,,Beginner,Intermediate
Wall Back Extension,Wall,None,None,None,None,Lower back (erector spinae) and shoulder stabilizers,Suitable for individuals working on back mobility and posture with added support from a wall.,"Stand with your back flat against a wall. Gently arch your upper back and shoulders away from the wall, then return. Keep lower back and hips in contact with the wall.",8–12 repetitions,,Shoulders,Back,,,Beginner,Beginner
Wall Band Row,Wall,Resistance band,Wall anchor,None,None,"Upper back, shoulders, and biceps",Suitable for individuals seeking to improve upper back strength and posture with additional wall stability for safety.,"Secure a resistance band to a wall anchor at chest height. Stand facing the wall, grasp the band with both hands, and pull it toward your chest by bending your elbows and squeezing your shoulder blades together. Slowly return with control.",8–12 repetitions,,Arms,Back,,,Beginner,Intermediate
Wall Bird Dog,Wall,None,None,None,None,"Core stabilizers, shoulders, glutes, and hips",Ideal for individuals improving balance and coordination with added wall support for safety.,"Stand facing a wall with hands placed on it at shoulder height. Extend one arm forward while extending the opposite leg backward, then return to start and switch sides.",8–10 repetitions per side,https://youtu.be/bwHrYjfrjFQ?si=XU9FEZFYfuaYUGeH,Legs,Core,,,Intermediate,Beginner
Wall Chest Stretch,Wall,None,None,None,None,Chest (pectorals) and shoulders,"Suitable for individuals improving chest flexibility and posture, especially after prolonged sitting or desk work.",Stand next to a wall and place your hand on it at shoulder height. Slowly turn your body away from the wall until you feel a stretch across your chest and shoulder.,Hold for 20–30 seconds per side; repeat 2–3 times,https://youtu.be/kzHib1PtQN0?si=pyx0tRGxPl0CaiOW,Chest,Stretches,,,Beginner,Beginner
Wall Plank Hold,Wall,None,None,None,None,"Abdominals, shoulders, chest, and core stabilizers",Suitable for individuals improving core endurance with minimal wrist or back strain using wall support.,"Stand facing a wall with hands placed at shoulder height. Lean into the wall and hold your body in a straight line from head to heels, engaging your core.",Hold for 20–30 seconds; repeat 2–3 times,,Chest,Core,,,Intermediate,Beginner
Wall Shoulder Press,Wall,None,None,None,None,Shoulders (deltoids) and triceps,Great for beginners or those needing extra stability during overhead pressing motions.,"Stand facing a wall with feet shoulder-width apart. Place your hands on the wall at shoulder height. Bend elbows and press against the wall, mimicking a shoulder press. Return with control.",8–12 repetitions,https://youtu.be/e60HQ0Jqsp4?si=cN5uVed--ho9J_gr,Shoulders,Arms,,,Beginner,Beginner
Wall Shoulder Stretch,Wall,None,None,None,None,Shoulders and chest,"Ideal for improving shoulder mobility and relieving upper body tightness, especially for desk workers.",Stand facing a wall and place one hand on it at shoulder height. Gently turn your body away from the wall to feel a stretch in the shoulder and chest.,Hold for 20–30 seconds; repeat 2–3 times per side,,Shoulders,Chest,Stretches,,Beginner,Beginner
